userId,target_item,peer_item,rating
8405,1562.0,153,2.0
8405,1562.0,4310,1.5
8405,1562.0,2701,1.5
8405,1562.0,1882,1.0
8405,1562.0,1917,2.0
8405,1562.0,1831,2.0
8405,1562.0,4367,2.0
8405,1562.0,4270,2.5
8405,1562.0,786,2.0
8405,1562.0,1479,1.5
8405,2701.0,1831,2.0
8405,2701.0,1882,1.0
8405,2701.0,673,2.0
8405,2701.0,1917,2.0
8405,2701.0,1562,1.5
8405,2701.0,4310,1.5
8405,2701.0,4270,2.5
8405,2701.0,173,2.0
8405,2701.0,4367,2.0
8405,2701.0,420,1.5
118205,1562.0,153,3.0
118205,1562.0,4310,3.0
118205,1562.0,2701,2.0
118205,1562.0,1882,3.0
118205,1562.0,1917,3.0
118205,1562.0,1831,3.5
118205,1562.0,4367,2.0
118205,1562.0,4270,3.0
118205,1562.0,786,4.0
118205,1562.0,1479,3.0
118205,2701.0,1831,3.5
118205,2701.0,1882,3.0
118205,2701.0,673,3.0
118205,2701.0,1917,3.0
118205,2701.0,1562,3.0
118205,2701.0,4310,3.0
118205,2701.0,4270,3.0
118205,2701.0,173,2.0
118205,2701.0,4367,2.0
118205,2701.0,420,3.0
88604,1562.0,153,2.5
88604,1562.0,4310,2.5
88604,1562.0,2701,2.0
88604,1562.0,1882,2.0
88604,1562.0,1917,2.5
88604,1562.0,1831,2.5
88604,1562.0,4367,2.0
88604,1562.0,4270,2.5
88604,1562.0,786,2.5
88604,1562.0,1479,2.5
88604,2701.0,1831,2.5
88604,2701.0,1882,2.0
88604,2701.0,673,2.5
88604,2701.0,1917,2.5
88604,2701.0,1562,2.0
88604,2701.0,4310,2.5
88604,2701.0,4270,2.5
88604,2701.0,173,2.0
88604,2701.0,4367,2.0
88604,2701.0,420,2.0
